PID,Social Media Post,Normalized Claim
1,"president ""biden's plan would mean america's seniors have no air conditioners during the summer.""","biden s energy plan would get rid of seniors air conditioning, heat and electricity"
2,"important announcement coronavirus last evening dining out with friends, one of their uncles, who is graduated with a master's degree and who worked in shenzhen hospital guangdong province, china sent him the following notes on coronavirus for guidance 1. if you have a runny nose and sputum, you have a common cold 2. coronavirus pneumonia is a dry cough with no runny nose. 3. this new virus is not heat resistant and will be killed by a temperature of just 26 27 degrees. it hates the sun. 4. if someone sneezes with it, it takes about 10 feet before it drops to the ground and is no longer airborne. 5. if it drops on a metal surface it will live for at least 12 hours so if you come into contact with any metal surface wash your hands as soon as you can with a bacterial soap. 6. on fabric it can survive for 6 12 hours. normal laundry detergent will kill it. 7. drinking warm water is effective for all viruses. try not to drink liquids with ice. 8. wash your hands frequently as the virus can only live on your hands for 5 10 minutes, but a lot can happen during that time you can rub your eyes, pick your nose unwittingly and so on. 9. you should also gargle as a prevention. a simple solution of salt in warm water will suffice. 10. cannot emphasise enough drink plenty of water! the symptoms 1. it will first infect the throat, so you will have a sore throat lasting 3 4 days 2. the virus then blends into a nasal fluid that enters the trachea and then the lungs, causing pneumonia. this takes about 5 6 days further. 3. with the pneumonia comes high fever and difficulty in breathing. 4. the nasal congestion is not like the normal kind. you feel like you are drowning. it is imperative you then seek immediate attention. spread the word please share.","if someone with the new coronavirus sneezes, it travels about 10 feet before it drops to the ground and is no longer airborne"
3,heart is delighted to hear,heart is delighted to hear
4,an allowed appeal is one where the initial refusal is overturned and the judge replaces the decision most commonly with a decision to grant a form of status,"the vast majority of people coming across the channel are economic migrants, they are not asylum seekers."
5,"warm water therapy dr. d. mensah asare says that the main benefits of warm water are numerous. a group of japanese doctors confirmed that warm water is 100 effective in resolving some health problems?, including headache, migraine, high blood pressure, low blood pressure, pain of joints, sudden increasing and decreasing of heartbeat, epilepsy, increasing level of cholesterol, cough, bodily discomfort, golu pain, asthma, hooping cough, blockage of veins, diseases related to uterus urine, stomach problems, poor appetite, also all related diseases to the eyes, ear throat. how to use warm water ? drink 4 glasses of warm water not above 100 degree centigrade temperature on empty stomach first thing in the morning and eat nothing until an hour later you may not be able to make 4 glasses at the beginning, but slowly you will. the warm water therapy will resolve these health issues within reasonable periods ? ? diabetes in 30 days ? blood pressure in 30 days ? stomach related issues in 10 days ? all types of cancer in 9 months ? blockage of veins in 6 months ? lack of hunger poor appetite? in 10 days ? uterus and related diseases in 10 days ? nose, ear throat problems in 10 days. ? women problems ? in 15 days, ? heart diseases in 30 days ? headache migraine in 3 days ? low blood pressure in 30 days. ? cholesterol in 4 months ? epilepsy and paralysis continously in 9 months ? asthma in 4 months. no doubt warm water on empty stomach every morning will help immensely in aiding digestion, eliminating constipation, alleviating pain, sheding excess fats, improving blood circulation, slowing down to a great measure premature aging etc",a widely popular social media post claims that drinking warm water will cure a long list of diseases. we fact checked and found that the claim is mostly false.
6,"in thane, thyrocare lab sealed by gov., because they gave fake covid positive reports to people. the reason behind this is this lab have connection with pvt. hospitals and after fake positive reports they send that person to that particular hospitals those have three lakhs rupees package for covid patient. false positives putting thane citizens at risk. please share so it can reach to max people",thyrocare labs are sealed in thane over false positive covid19 testing
7,meanwhile in kipsigis a covid patient was nearly buried alive. moh has really bungled this pandemic and the best thing they could all do is resign.,covid 19 victim was almost buried alive
8,"did you know? eating 2 onions daily helps increase immunity, treat depression, fight the common cold and flu being a potent natural antibiotic, and it helps you sleep better!",eating 2 slices of onions a day treat depression
9,"qanon promoters on telegram, including qanon john, are already speculating baselessly that the elementary school shooting in uvalde, texas, was a false flag.","the shooting at an elementary school in uvalde county, texas, was a false flag."
10,"in asia, where hundreds of millions of smallpox vaccinations were given from 1967 to 1972, aids remains rare. conversely, the us is experiencing a major aids epidemic. yet smallpox was eradicated there many years ago","according to the times in 1987, smallpox vaccines triggered the awakening of dormant hiv among recipients, causing the aids epidemic."
11,"if you have migraines just put a little bit under your tongue, within minutes you will feel your migraine easing up","if you have migraines just put a little bit under your tongue, within minutes you will feel your migraine easing up."
12,"there is a possibility that these common adverse reactions, that are not dangerous in fitter, younger patients and are not unusual with vaccines, may aggravate underlying disease in the elderly",23 people in norway died after getting the pfizer covid 19 vaccine.
13,"in honor of , i remind you that governor evers wanted to increase your taxes by 1 billion just for heating your homes. instead, republicans cut your taxes by more than 2 billion. we want to keep more money in your pockets.","says gov. tony evers ""wanted to increase your taxes by 1 billion just for heating your homes instead, republicans cut your taxes by more than 2 billion."""
14,bengali actor aindrila sharma passed away at the age of 24 in a private hospital in howrah today after suffering multiple cardiac arrests last night. another effect of covid vaccine! young people getting heart attacks! slowly people are dying due to vaccine!,bengali actor aindrila sharma die of the covid vaccine
15,"our study found that engaging in 7 h of mental work similar to that found in an office environment, with 10 min breaks every 50 min, can negatively impact cognitive efficiency, suppress brain neural network activity, and because mental fatigue. these effects do not fully recover after a 4.5 h rest","a study shows short breaks during a working day because mental exhaustion that affects a person s focus, as well as attention, learning and visual recognition."
16,,buzz aldrin admitted the moon landings were faked in an interview.
17,"thrilled that has granted fast track designation for our mrna based combo vaccine candidate for influenza and , expediting the review time so we hopefully can bring this potential","pfizer ceo albert bourla resigned, saying mrna vaccines are not safe."
18,two terrorists caught by police with courage and intelligence at dahod railway station. some people and employees of the railway administration were held hostage at gunpoint by the terrorists,two terrorists caught by police with courage and intelligence at dahod railway station. some people and employees of the railway administration were held hostage at gunpoint by the terrorists.
19,"working hard on the biggest tax cut in you.s. history. great support from so many sides. big winners will be the middle class, business jobs","says the gop plan he supports is ""the biggest tax cut in you.s. history."""
20,"flu season is coming up! many people every year, sometimes over 100,000, and despite the vaccine, die from the flu. are we going to close down our country? no, we have learned to live with it, just like we are learning to live with covid, in most populations far less lethal!!!","sometimes 100,000 people or more die from the seasonal flu"
21,"bank strike announced on 26th 27th september , 28th september is 4th saturday , 29th is sunday.. 30 th half yearly closing. oct 2 gandhi jayanthi holiday. plan accordingly",banks are closed continuously from 26th september 2019 to 30th september 2019.
22,420. fraud,"modi inaugurated the first phase of the ahmedabad metro project, which was already inaugurated in 2019."
23,"the facts do not lie. the 2021 letter you signed was obviously drafted by railroad industry lobbyists. it supports waivers that would reduce visual track inspections. now will you vote to help us toughen rail safety accountability and fines, or not?","""the 2021 letter marco rubio signed was obviously drafted by railroad industry lobbyists. it supports waivers that would reduce visual track inspections."
24,"new variant b.1.1.529 is named as stay at home from a doctors' group rsa the virus is back, this time with more energy, tactics and camouflage. we do not cough, no fever, it is joint pain, weakness, loss of appetite and covid pneumonia! of course, the death rate is higher, it takes less time to get to the extreme. sometimes no symptoms ... let us be careful ... the strain is not domiciled in our nasopharyngeal region! it directly affects the lungs, which means window periods are shortened. i have seen a number of patients without fever, but an x ray report shows moderate chest pneumonia! the nasal swab is often negative for covid19! there are more and more false pharyngeal nasal tests ... which means that the virus spreads directly to the lungs causing acute respiratory distress due to viral pneumonia! this explains why it has become acute and more fatal !!! be careful, avoid crowded places, wear a face mask, wash your hands often. wave more deadly than the first. so we have to be very careful and take every precaution. please become an alert communicator among friends and family ... do not keep this information to yourself, share it with your family and friends. please take care and stay safe !",the omicron variant cannot be detected by pcr test?
25,the unhcr is present in the region and they are the right mechanism by which people should apply if they do want to seek asylum in the united kingdom,people fleeing sudan for humanitarian reasons should apply through the unhcr if they want to seek asylum in the uk.
26,psa this is hypercapnia. it can be caused by rebreathing your own exhaled co2 by wearing a mask continuously!,"wearing a mask can cause hypercapnia, by making you breathe in too much carbon dioxide."
27,all the world's a stage,a police car destroyed during protests in bristol is a prop vehicle as the mot has expired.
28,"a study found that 2 hours of silence per day promotes cell development in the hippocampus region of the brain, where memories are found",fact check can remaining silent for a few hours per day promote cell growth in the human brain?
29,how can harris be the 1st black woman to run for vp? or person of color? meet charlotta bass.,charlotta bass was the first black woman to run for vice president
30,"liquor stores are open, strip malls can have 5 customers, but dentists are non essential?!",says gov tony evers administration deemed dentists non essential
31,pilot pissing in the cockpit of paf f 16 said urine increases efficiency of jets told by allah in his dream,pilot pissing in the cockpit of paf f 16 said urine increases efficiency of jets told by allah in his dream.
32,it is an herbal combination that helps to strengthen your gums and completely eliminate all of the stains from your teeth.,herbal teeth whitening foams strengthen gums
33,it is interesting to see the memorandum of the british government through which mr. gandhi became mahatma gandhi officially,it is interesting to see the memorandum of the british government through which mr. gandhi became mahatma gandhi officially.
34,the lady holding the in her hand is none other than.. the wife of subba reddy chairman of the world richest hindu temple tirupati dear hindu's.. wake up before it is too late,the lady holding the bible in her hand is none other than.. the wife of subba reddy chairman of the world richest hindu temple tirupati dear hindu s.. wake up before it is too late
35,"we have bought the moderna which protects you against both covid and flu, which is a good thing, so get that booster in place."" this isn",the moderna booster vaccine protects you against both covid 19 and flu.
36,updated uk government assessment for pfizer covid 19 vaccine,you.k. has revoked covid vaccine for pregnant women
37,"""the benefit of the vaccine in no way outweigh the risks."" denmark suspends covid vax program after study of 23 million people raises health alarms",denmark paused the covid vaccination program due to increased risk of myocarditis
38,"so you are going to receive a text message on your phone. if you do not reply to that text message, basically, the use of your phone is going to be limited so they are going to put your phone off for the day.",mobile phone networks are in breach of gdpr by providing your phone number to another agency to allow emergency alerts.
39,landslide victory in gujarat. scene from one of the strong rooms in that state bhavnagar constituency.,landslide victory in gujarat. scene from one of the strong rooms in that state bhavnagar constituency.
